SampleName,Autotroph,Heterotroph,SulfateReducer,Homoacetogen,Methanogen,DenitrifierNonETC,AerobicAmmoniaOxidizer,Comammox,Annamox,NitrogenFixer,Phototroph,Fermenter,Aerobe,Microaerophillic,OxidaseNonETC,Denitrifier
logan1_2019_sw_WHONDRS-S19S_0097,0,884.3676949,13.56167828,0,0,4.007277397,0,0,0,0,0,859.2326253,8.713688353,24.09990914,477.3283884,15.38622078
logan2_2019_sw_WHONDRS-S19S_0098,3.037302656,299.5237059,0,0,0,0,0,0,0,0,3.037302656,288.7554742,8.124862269,7.721502043,210.2764164,2.978238831
lowercolorado_2019_sw_WHONDRS-S19S_0063,0,117.3672433,0,0,0,0,0,0,0,0,0,69.83347508,43.90460668,9.609572803,27.30487776,10.694664
marshallgulch_2019_sw_WHONDRS-S19S_0035,0.843555741,375.6601364,0,0,0,19.00351511,0,0,0,0.784943557,1.09119439,371.2804491,3.662332983,1.61952221,167.9102637,0
marthacreek_2019_sw_WHONDRS-S19S_0030,0,588.7307784,0,0,0,8.824425961,0,0,0,0,0,580.7182327,8.012545704,8.012545704,505.0286857,0
mcdi_2019_sw_WHONDRS-S19S_0017,10.56813504,233.7359746,0,0,0,3.298911953,0,0,0,10.56813504,10.56813504,210.7873441,33.51676559,23.37105524,148.5851181,0
middleoconee_2019_sw_WHONDRS-S19S_0011,13.44646987,291.9149099,4.061208641,0,0,2.348153161,0,0,0,3.178704167,21.59283431,78.38169453,209.3988883,188.8308131,64.84700518,14.26433741
morescreek_2019_sw_WHONDRS-S19S_0085,0,250.4590296,0,0,0,3.9792725,0,0,0,0,0,114.7060791,132.1686937,135.7529505,71.16775816,0
muddycreek_2019_sw_WHONDRS-S19S_0082,110.5495938,593.200233,2.157447075,0,0,1.99938117,0.399642874,0,0,60.71222327,92.31287356,309.6853405,337.8872426,184.8591085,257.7166937,29.28159566
nebranchanacostia_2019_sw_WHONDRS-S19S_0081,0,150.8912776,0,0,0,0,0,0,0,0,0,137.6075526,13.28372497,13.28372497,86.82538878,0
oksrukuyikcreek_2019_sw_WHONDRS-S19S_0050,9.619064726,3254.780615,0,0,0,68.54099185,0,0,0,0,9.619064726,2455.030778,809.3689021,758.3087305,665.4209563,0
pamunkeyriver_2019_sw_WHONDRS-S19S_0054,1.242802934,60.79966186,0,0,0,4.786145408,0,0,0,0,1.242802934,30.20742948,31.20154631,26.25203121,20.00363337,1.866629411
poseycreek_2019_sw_WHONDRS-S19S_0013,1.05283162,348.3522113,0,0,0,12.91817939,0,0,0,1.05283162,0,347.1965221,2.20852085,2.20852085,103.9472932,1.05283162
pringlecreek_2019_sw_WHONDRS-S19S_0025,0,133.9926704,0,0,0,0,0,0,0,0,0,125.4795831,6.621459689,6.621459689,60.69713614,0
providencecreek_2019_sw_WHONDRS-S19S_0007,0,555.0774774,5.121016058,0,0,36.45383745,0,0,0,6.679062242,0,534.069437,11.47159963,15.54490701,174.6465469,12.09643907
redbuttecreek_2019_sw_WHONDRS-S19S_0029,0,489.9358823,0,0,0,1.96721406,0,0,0,0,0,481.7658452,1.502197735,6.114550615,258.9912973,6.114550615
redbuttecreek_2019_sw_WHONDRS-S19S_0086,0,466.6620586,7.173012002,0,0,10.7375149,0,0,0,0,0,456.6976282,2.79141847,9.964430472,201.9478764,7.173012002
riogrande_2019_sw_WHONDRS-S19S_0066,0,1640.919925,18.42977788,0,0,13.67370617,8.421554133,0,0,0,0,1436.65491,162.7985234,77.75376163,183.0562473,47.04150201
sangamon_2019_sw_WHONDRS-S19S_0083,0,133.3044258,0,0,0,0,0,0,0,0,0,125.966752,7.337673779,5.350533416,87.3577475,0
sawmillbrook_2019_sw_WHONDRS-S19S_0072,0,248.3363135,0,0,0,0,0,0,0,0,0,248.3363135,0,0,132.6888946,0
sharkriverslough_2019_sw_WHONDRS-S19S_0042,4.70987191,203.2214978,0,0,0,5.482632755,0,0,0,0,7.672840711,136.049509,64.96146448,46.05781544,136.049509,0
sycamorecreek_2019_sw_WHONDRS-S19S_0028,146.810245,73.4982647,8.890279492,0,0,9.945562225,0,0,0,131.5130211,120.045022,51.36281504,157.2046755,158.7356903,19.22352599,20.8932343
teakettle_2019_sw_WHONDRS-S19S_0008,0,617.7066469,0,0,0,12.281834,0,0,0,0,0,616.8537805,0.852866459,0,471.9139736,0
teakettle2_2019_sw_WHONDRS-S19S_0032,0,1286.77374,0,0,0,11.58086286,0,0,0,0,0,1281.15819,5.615549864,0.867899147,991.2943088,0
tombigeeriver_2019_sw_WHONDRS-S19S_0020,0,30.07523759,0,0,0,0,0,0,0,0,3.331015713,9.695647454,18.73081197,4.363107541,9.695647454,2.590184026
whiteclaycreek1_2019_sw_WHONDRS-S19S_0037,3.796001173,939.0753156,0,0,0,6.794590907,0,0,0,3.021878084,0,936.7701464,6.101170341,2.305169168,266.6970035,0
